time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.840663,-0.0048,-0.0012,-0.0000,0.005
0.845542,-0.0096,0.0178,-0.0143,0.025
0.850563,0.0095,0.0177,-0.0094,0.022
0.855470,-0.0049,0.0034,0.0097,0.011
0.861638,0.0140,-0.0015,0.0191,0.024
0.865762,-0.0052,0.0081,-0.0001,0.010
0.870443,-0.0052,0.0031,0.0047,0.008
0.875456,-0.0148,0.0031,-0.0286,0.032
0.880588,-0.0194,-0.0065,0.0334,0.039
0.885302,-0.0192,-0.0065,0.0093,0.022
0.890426,-0.0049,-0.0065,-0.0145,0.017
0.895800,-0.0239,-0.0017,0.0141,0.028
0.913927,0.0001,-0.0016,-0.0097,0.010
0.914605,0.0191,-0.0110,-0.0001,0.022
0.914823,-0.0097,0.0081,-0.0049,0.013
0.915398,0.0045,-0.0063,-0.0238,0.025
0.920163,0.0423,-0.0015,0.0048,0.043
0.925998,-0.0150,0.0080,-0.0047,0.018
0.930976,-0.0197,0.0032,-0.0142,0.024
0.935369,0.0089,0.0128,0.0334,0.037
0.940303,0.0090,0.0079,0.0284,0.031
0.945276,-0.0053,0.0078,-0.0003,0.009
0.950315,0.0137,0.0077,-0.0051,0.017
0.955553,0.0041,-0.0066,-0.0050,0.009
0.960405,0.0136,0.0031,0.0093,0.017
0.965309,-0.0008,0.0126,-0.0098,0.016
0.970146,-0.0010,0.0125,0.0188,0.023
0.975362,-0.0010,0.0029,0.0044,0.005
0.980837,0.0133,-0.0019,-0.0004,0.013
0.985552,-0.0011,-0.0067,-0.0099,0.012
0.990234,-0.0105,-0.0115,-0.0051,0.016
0.995131,0.0037,-0.0066,-0.0193,0.021
1.000578,-0.0247,0.0077,-0.0001,0.026
1.018888,0.0182,-0.0113,-0.0049,0.022
1.019476,0.0182,0.0030,0.0237,0.030
1.019696,-0.0057,0.0078,-0.0003,0.010
1.020194,0.0085,-0.0065,-0.0050,0.012
1.025208,0.0179,-0.0017,-0.0145,0.023
1.030825,-0.0060,0.0173,-0.0001,0.018
